Subject,England,Wales,Scotland,Northern Ireland,Other UK,Total UK,categorykey,AcademicYear
10 Engineering and technology,144960.0,9290.0,20370.0,4170.0,,178790.0,3,2023/24
"13 Architecture, building and planning",55445.0,2635.0,6310.0,1870.0,,66265.0,4,2023/24
"06 Agriculture, food and related studies",15690.0,1155.0,2325.0,370.0,,19540.0,5,2023/24
"26 Geography, earth and environmental studies (natural sciences)",24980.0,2530.0,5135.0,810.0,,33450.0,5,2023/24
"26 Geography, earth and environmental studies (social sciences)",10175.0,800.0,1090.0,170.0,,12235.0,5,2023/24
01 Medicine and dentistry,68535.0,3575.0,10595.0,2525.0,,85235.0,6,2023/24
02 Subjects allied to medicine,302835.0,18445.0,33305.0,10640.0,,365225.0,6,2023/24
05 Veterinary sciences,10565.0,150.0,2150.0,0.0,,12870.0,6,2023/24
22 Education and teaching,93070.0,7885.0,15105.0,2825.0,,118885.0,7,2023/24
17 Business and management,514815.0,25100.0,40975.0,13735.0,,594625.0,8,2023/24
04 Psychology,116745.0,8385.0,12495.0,2245.0,,139870.0,9,2023/24
15 Social sciences,232910.0,15135.0,25560.0,5730.0,,279330.0,9,2023/24
16 Law,123500.0,8955.0,9755.0,2540.0,,144750.0,9,2023/24
19 Language and area studies,61580.0,4760.0,12280.0,1470.0,,80085.0,9,2023/24
"20 Historical, philosophical and religious studies",60155.0,4135.0,12010.0,1010.0,,77305.0,9,2023/24
"24 Media, journalism and communications",39340.0,2720.0,4570.0,945.0,,47580.0,9,2023/24
"25 Design, and creative and performing arts",160915.0,6155.0,13145.0,2120.0,,182335.0,10,2023/24
23 Combined and general studies,29960.0,4135.0,9395.0,1445.0,,44935.0,11,2023/24
Total,2404235.0,150680.0,281455.0,63875.0,,2900240.0,99,2023/24
Total non-science CAH level 1,1326415.0,79780.0,143880.0,31995.0,,1582070.0,99,2023/24
Total science CAH level 1,1077820.0,70895.0,137575.0,31880.0,,1318170.0,99,2023/24
03 Biological and sport sciences,85730.0,10320.0,13115.0,2210.0,,111380.0,1,2024/25
07 Physical sciences,52385.0,2680.0,8110.0,1145.0,,64325.0,1,2024/25
09 Mathematical sciences,37255.0,1580.0,5310.0,580.0,,44725.0,1,2024/25
11 Computing,169810.0,9495.0,20325.0,6360.0,,205990.0,2,2024/25
10 Engineering and technology,143725.0,8795.0,19755.0,4255.0,,176530.0,3,2024/25
"13 Architecture, building and planning",57290.0,2470.0,5890.0,1825.0,,67475.0,4,2024/25
"06 Agriculture, food and related studies",14490.0,1020.0,2155.0,295.0,,17960.0,5,2024/25
"26 Geography, earth and environmental studies (natural sciences)",24205.0,2390.0,4530.0,860.0,,31985.0,5,2024/25
"26 Geography, earth and environmental studies (social sciences)",9930.0,825.0,1050.0,165.0,,11970.0,5,2024/25
01 Medicine and dentistry,68725.0,3680.0,10400.0,2540.0,,85345.0,6,2024/25
02 Subjects allied to medicine,298675.0,18055.0,32085.0,11540.0,,360360.0,6,2024/25
05 Veterinary sciences,10555.0,185.0,2020.0,0.0,,12760.0,6,2024/25
22 Education and teaching,84770.0,7720.0,14630.0,2760.0,,109885.0,7,2024/25
17 Business and management,515240.0,21415.0,37780.0,12285.0,,586710.0,8,2024/25
04 Psychology,115720.0,8310.0,12030.0,2230.0,,138290.0,9,2024/25
15 Social sciences,229200.0,15780.0,25115.0,5805.0,,275900.0,9,2024/25
16 Law,123770.0,8170.0,9950.0,2635.0,,144525.0,9,2024/25
19 Language and area studies,58020.0,4440.0,11280.0,1620.0,,75355.0,9,2024/25
"20 Historical, philosophical and religious studies",59860.0,3835.0,11750.0,1050.0,,76495.0,9,2024/25
"24 Media, journalism and communications",38395.0,2505.0,5400.0,955.0,,47255.0,9,2024/25
"25 Design, and creative and performing arts",156900.0,6230.0,13530.0,2095.0,,178755.0,10,2024/25
23 Combined and general studies,26385.0,3930.0,6400.0,2485.0,,39200.0,11,2024/25
Total,2381040.0,143825.0,272615.0,65695.0,,2863180.0,99,2024/25
Total non-science CAH level 1,1302465.0,74850.0,136885.0,31860.0,,1546060.0,99,2024/25
Total science CAH level 1,1078580.0,68975.0,135735.0,33835.0,,1317120.0,99,2024/25
